obj: 'INIT', pid: 01
    obj: 'A000', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x00008000, size: 0x007000, phys: 0x887E172000, tz0 offset: 0x09E000
    obj: 'A001', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x0000F000, size: 0x016000, phys: 0x887E179000, tz0 offset: 0x0A5000
    obj: 'RARG', pid: 01, owner: 'INIT', type: '_dat', perm: r--, vaddr: 0x00007000, size: 0x001000, phys: 0x887E171000, tz0 offset: 0x09D000
    obj: 'SEPA', pid: 01, owner: 'INIT', type: '_dat', perm: rw-, vaddr: 0x00029000, size: 0x001000, phys: 0x887E3D0000, tz0 offset: 0x2FC000
    obj: 'MFST', pid: 01, owner: 'INIT', type: '_dat', perm: rw-, vaddr: 0x0002D000, size: 0x002000, phys: 0x887E3D1000, tz0 offset: 0x2FD000
    obj: 'shmh', pid: 01, owner: 'INIT', type: '_dat', perm: rw-, vaddr: 0x00031000, size: 0x00A000, phys: 0x080A770000, tz0 offset: --------
    obj: 'PNIC', pid: 01, owner: 'INIT', type: '_asc', perm: rw-, vaddr: 0x00042000, size: 0x008000, phys: 0x080A771000, tz0 offset: --------
    obj: 'PDIB', pid: 01, owner: 'INIT', type: '_dat', perm: rw-, vaddr: 0x0004D000, size: 0x001000, phys: 0x887E3D3000, tz0 offset: 0x2FF000
    obj: 'CRCO', pid: 01, owner: 'INIT', type: '_dat', perm: r--, vaddr: 0x00050000, size: 0x23F000, phys: 0x887E18F000, tz0 offset: 0x0BB000
    obj: 'O000', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x00293000, size: 0x001000, phys: 0x887E3E8000, tz0 offset: 0x314000

obj: 'SEPD', pid: 02
    obj: 'B009', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x0ECB3000, size: 0x00C000, phys: 0x887E18F000, tz0 offset: 0x0BB000
    obj: 'B010', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x0ECBF000, size: 0x008000, phys: 0x887E19B000, tz0 offset: 0x0C7000
    obj: 'B011', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x0ECE5000, size: 0x001000, phys: 0x887E3D4000, tz0 offset: 0x300000
    obj: 'O001', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x0ECE9000, size: 0x001000, phys: 0x887E3E9000, tz0 offset: 0x315000
    obj: 'B001', pid: 02, owner: 'SEPD', type: 'PRNG', perm: rw-, vaddr: 0x0ECEE000, size: 0x004000, phys: 0x02102BC000, tz0 offset: --------
    obj: 'B002', pid: 02, owner: 'SEPD', type: 'PRNG', perm: rw-, vaddr: 0x0ECF8000, size: 0x0F1000, phys: 0x02102E8000, tz0 offset: --------
    obj: 'B000', pid: 02, owner: 'SEPD', type: 'PRNG', perm: rw-, vaddr: 0x0EDEC000, size: 0x001000, phys: 0x02102D0000, tz0 offset: --------
    obj: 'B003', pid: 02, owner: 'SEPD', type: 'PRNG', perm: rw-, vaddr: 0x0EDF1000, size: 0x004000, phys: 0x020D200000, tz0 offset: --------
    obj: 'B004', pid: 02, owner: 'SEPD', type: 'PRNG', perm: rw-, vaddr: 0x0EDF9000, size: 0x004000, phys: 0x020DA04000, tz0 offset: --------
    obj: 'PNIC', pid: 01, owner: 'INIT', type: '_asc', perm: rw-, vaddr: 0x00042000, size: 0x008000, phys: 0x080A771000, tz0 offset: --------
    obj: 'B005', pid: 02, owner: 'SEPD', type: 'PRNG', perm: rw-, vaddr: 0x0EE0F000, size: 0x004000, phys: 0x020D500000, tz0 offset: --------
    obj: 'B006', pid: 02, owner: 'SEPD', type: 'PRNG', perm: rw-, vaddr: 0x0EE17000, size: 0x004000, phys: 0x020D680000, tz0 offset: --------
    obj: 'B007', pid: 02, owner: 'SEPD', type: 'PRNG', perm: rw-, vaddr: 0x0EE1E000, size: 0x001000, phys: 0x020DE40000, tz0 offset: --------
    obj: 'B008', pid: 02, owner: 'SEPD', type: 'PRNG', perm: rw-, vaddr: 0x0EE21000, size: 0x004000, phys: 0x020DE50000, tz0 offset: --------
    obj: 'O013', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x0EE29000, size: 0x001000, phys: 0x887E64F000, tz0 offset: 0x57B000
    obj: 'O015', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x0EE30000, size: 0x001000, phys: 0x887E651000, tz0 offset: 0x57D000
    obj: 'O016', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x0EE36000, size: 0x001000, phys: 0x887E652000, tz0 offset: 0x57E000
    obj: 'O017', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x0EE3A000, size: 0x001000, phys: 0x887E653000, tz0 offset: 0x57F000
    obj: 'O018', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x0EE40000, size: 0x001000, phys: 0x887E654000, tz0 offset: 0x580000
    obj: 'O019', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x0EE43000, size: 0x001000, phys: 0x887E655000, tz0 offset: 0x581000
    obj: 'O020', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x0EE49000, size: 0x001000, phys: 0x887E656000, tz0 offset: 0x582000
    obj: 'O022', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x0EE4C000, size: 0x001000, phys: 0x887E658000, tz0 offset: 0x584000
    obj: 'SEPA', pid: 01, owner: 'INIT', type: '_dat', perm: rw-, vaddr: 0x00029000, size: 0x001000, phys: 0x887E3D0000, tz0 offset: 0x2FC000
    obj: 'O023', pid: 06, owner: 'skg ', type: '_ool', perm: rw-, vaddr: 0x010B6000, size: 0x001000, phys: 0x887E659000, tz0 offset: 0x585000
    obj: 'O025', pid: 02, owner: 'SEPD', type: '_ool', perm: rw-, vaddr: 0x0EE5B000, size: 0x001000, phys: 0x887E65B000, tz0 offset: 0x587000
    obj: 'O030', pid: 12, owner: 'sks ', type: '_ool', perm: rw-, vaddr: 0x084DD000, size: 0x001000, phys: 0x887E65E000, tz0 offset: 0x58A000
    obj: 'O048', pid: 13, owner: 'sbio', type: '_ool', perm: rw-, vaddr: 0x00312000, size: 0x001000, phys: 0x887E67C000, tz0 offset: 0x5A8000

obj: 'AESS', pid: 03
